----- Warming up -----
Iteration 1
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    266.886 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant2(pivot: MEDIAN3)) -> time =    261.703 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    280.136 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    289.655 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    273.127 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant1(pivot: MIDDLE))  -> time =    260.432 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    282.355 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    279.746 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    277.304 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    285.847 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    275.924 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    300.670 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant3(pivot: MIDDLE))  -> time =    259.788 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    275.383 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant2(pivot: MIDDLE))  -> time =    263.319 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    317.194 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    284.475 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    270.700 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant1(pivot: MEDIAN3))   -> time =    314.635 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant1(pivot: MEDIAN3)) -> time =    266.719 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    261.047 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    272.472 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    323.947 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    268.283 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant3(pivot: MIDDLE))  -> time =    261.921 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    263.063 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    281.133 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant2(pivot: MIDDLE))  -> time =    278.959 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    323.028 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant3(pivot: MEDIAN3)) -> time =    265.740 ms
  QuicksortVariant1(pivot: MIDDLE)                                                   -> time =    304.109 ms
  QuicksortVariant3(pivot: MEDIAN3)                                                  -> time =    328.289 ms
Iteration 3
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    280.381 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    277.557 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant1(pivot: MIDDLE))    -> time =    306.716 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant3(pivot: MEDIAN3)) -> time =    271.489 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    279.624 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    274.010 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    298.358 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    345.181 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant1(pivot: MIDDLE))  -> time =    265.631 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    307.939 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    322.591 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant1(pivot: MEDIAN3))   -> time =    304.168 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    323.288 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    283.990 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant1(pivot: MIDDLE))    -> time =    294.228 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    284.562 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    278.640 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    273.228 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant1(pivot: MEDIAN3)) -> time =    265.127 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant1(pivot: MEDIAN3))   -> time =    323.232 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant3(pivot: MEDIAN3)) -> time =    269.523 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant3(pivot: MEDIAN3))  -> time =    295.867 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    330.286 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    277.797 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    280.740 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    268.877 ms
  QuicksortVariant3(pivot: MIDDLE)                                                   -> time =    306.923 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    264.365 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    279.886 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MEDIAN3))   -> time =    309.005 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant3(pivot: MIDDLE))    -> time =    294.120 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    265.851 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    287.906 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant3(pivot: MIDDLE))   -> time =    283.654 ms
  QuicksortImproved(threshold: 128, partitioning: QuicksortVariant1(pivot: MIDDLE))  -> time =    262.244 ms
  QuicksortImproved(threshold: 2, partitioning: QuicksortVariant2(pivot: MIDDLE))    -> time =    314.442 ms
  QuicksortVariant1(pivot: MEDIAN3)                                                  -> time =    318.296 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant1(pivot: MEDIAN3))  -> time =    290.743 ms
  QuicksortVariant2(pivot: MEDIAN3)                                                  -> time =    329.011 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    272.703 ms
  QuicksortImproved(threshold: 32, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    283.602 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    265.750 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    273.309 ms
  QuicksortImproved(threshold: 8, partitioning: QuicksortVariant2(pivot: MEDIAN3))   -> time =    311.325 ms
  QuicksortImproved(threshold: 4, partitioning: QuicksortVariant1(pivot: MEDIAN3))   -> time =    319.971 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant3(pivot: MIDDLE))  -> time =    264.787 ms
  QuicksortVariant3(pivot: MEDIAN3)                                                  -> time =    333.208 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant1(pivot: MEDIAN3)) -> time =    271.664 ms
  QuicksortVariant1(pivot: MIDDLE)                                                   -> time =    308.286 ms
  QuicksortImproved(threshold: 48, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    270.975 ms
  QuicksortImproved(threshold: 64, partitioning: QuicksortVariant1(pivot: MIDDLE))   -> time =    266.227 ms
  QuicksortImproved(threshold: 24, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    283.297 ms
  QuicksortImproved(threshold: 192, partitioning: QuicksortVariant2(pivot: MEDIAN3)) -> time =    269.693 ms
  QuicksortImproved(threshold: 16, partitioning: QuicksortVariant2(pivot: MIDDLE))   -> time =    288.028 ms
  QuicksortImproved(threshold: 96, partitioning: QuicksortVariant2(pivot: MEDIAN3))  -> time =    279.083 ms
