# algorithm	order	size	timeNs
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	268435456	2218257000
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	1024	25375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	2048	54542
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	4096	101709
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	8192	213042
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	16384	485875
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	32768	1019584
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	65536	2133833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	131072	4645833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	262144	9649625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	524288	20862292
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	1048576	43519500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	2097152	91787417
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	4194304	193558208
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	8388608	424544292
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	16777216	834037416
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	33554432	1746485583
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	67108864	3686889792
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	134217728	7601713292
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	268435456	16616131667
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	1024	7083
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	2048	10583
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	4096	22916
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	8192	30167
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	16384	73833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	32768	138542
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	65536	297875
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	131072	611625
